"Year","Age","Female","Male","Total","FemalePost","MalePost","Fem1","Mal1"
1959,"2",0.001932,0.002156,0.002046,121.547142752905,120.697615162934,121.547142752905,120.697615162934
1960,"2",0.001777,0.001879,0.001829,121.52587762251,120.622021921959,121.52587762251,120.622021921959
1961,"2",0.001583,0.001694,0.00164,121.47263691046,120.580296489398,121.47263691046,120.580296489398
1962,"2",0.001704,0.001758,0.001732,121.608657614192,120.679302384071,121.608657614192,120.679302384071
1963,"2",0.001427,0.001581,0.001506,121.493617580503,120.635104834676,121.493617580503,120.635104834676
1964,"2",0.001212,0.00147,0.001344,121.392679185879,120.62423136888,121.392679185879,120.62423136888
1965,"2",0.001174,0.001392,0.001286,121.423188075861,120.631632221642,121.423188075861,120.631632221642
1966,"2",0.001065,0.001149,0.001108,121.38811020984,120.501704350237,121.38811020984,120.501704350237
1967,"2",0.000983,0.001187,0.001088,121.370353308068,120.596163158638,121.370353308068,120.596163158638
1968,"2",0.000951,0.001135,0.001045,121.399622306689,120.613288385584,121.399622306689,120.613288385584
1969,"2",0.000962,0.001159,0.001063,121.473486751033,120.696134990649,121.473486751033,120.696134990649
1970,"2",0.000906,0.001019,0.000964,121.475875662634,120.629320872172,121.475875662634,120.629320872172
1971,"2",0.00083,0.001048,0.000942,121.450626113605,120.719304395471,121.450626113605,120.719304395471
1972,"2",0.000689,0.000929,0.000812,121.326805740052,120.660695961044,121.326805740052,120.660695961044
1973,"2",0.000686,0.000806,0.000748,121.384806152987,120.580592656378,121.384806152987,120.580592656378
1974,"2",0.000586,0.000635,0.000611,121.289612371062,120.404055604404,121.289612371062,120.404055604404
1975,"2",0.000543,0.000668,0.000607,121.275765957643,120.516640470689,121.275765957643,120.516640470689
1976,"2",0.000542,0.000579,0.000561,121.336286695372,120.435576466365,121.336286695372,120.435576466365
1977,"2",0.000465,0.000553,0.00051,121.245422155743,120.451553681955,121.245422155743,120.451553681955
1978,"2",0.000463,0.000547,0.000506,121.303475860465,120.502566174495,121.303475860465,120.502566174495
1979,"2",0.000451,0.000514,0.000483,121.339580202105,120.502262329169,121.339580202105,120.502262329169
